	Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
1022_f_at	372.333963082835	380.408397670179	358.131395716522	322.422882988374	405.455721454259	369.913433026861	464.77343298522	518.886230833784
1023_at	767.527119280478	757.754962252099	791.107897054006	900.398432005194	894.08343211298	880.428159486473	1172.25433299324	1080.61406071334
1024_at	637.234789508234	559.82982120014	594.889036582485	558.584865345949	729.295460541471	688.026938350238	754.389051961588	686.792520166217
1025_g_at	1206.12190308973	1069.7170944062	1583.08833359659	1274.94872981155	1076.20981740663	1145.61203249041	1374.07011696807	1880.87397053751
1026_s_at	1684.9793230165	1449.58080476035	1740.06587442186	1646.3687448338	2016.29016045944	1652.52306421395	2069.69096913737	2224.34165993845
1027_at	634.942652587075	668.181158744296	656.809616580296	644.110716605491	778.400932304685	766.49329055935	747.676236349286	753.570275441669
1028_at	986.240754917331	1109.18815980725	1560.69788219458	1350.14527807128	1150.17561038356	1079.64906946384	1290.85954432741	1470.61604564933
1029_s_at	464.697733937532	432.568496076044	437.532787921821	402.196112207673	439.529323235028	434.072810543504	544.21027170472	524.399874821539
103_at	842.337982990029	921.099325168154	561.531213813725	623.083318819885	689.924649500441	701.663788541826	934.358188619312	831.729154343814
1030_s_at	1196.52422246727	1113.42368419169	1396.61267866897	1474.71838138759	1212.25162928274	1331.7331869904	824.744658864502	706.313388516618
1031_at	368.160610552189	392.784621335588	590.216595654155	619.770158999288	371.348440902443	396.444071884836	347.681753283177	375.891546466537
1032_at	1280.28042192538	1514.85299996922	1830.83537565481	1414.6767764109	4409.98902272671	4018.6733551721	2506.02184025365	2906.31747374905
1033_g_at	627.021070799251	591.284045876469	589.633359013658	571.140924935295	670.210857345428	664.882382201142	779.695628294886	770.449512133836
1034_at	1155.39539292279	1209.61258852786	1186.52878910955	977.645691930981	1654.5688986205	1496.46370319508	1487.50426076308	1818.29169632265
1035_g_at	751.135386056507	785.206072693985	732.169143718033	622.967561182915	985.392808392595	965.627572861175	854.067104659489	839.382009843762
1036_at	245.272955836087	263.001306058873	251.768447918122	264.598064202308	248.256083508074	262.676192978194	312.292312918925	328.47754867378
1037_at	393.990079307254	439.051946325881	637.483676104889	545.808591104257	452.007233522511	428.625800409684	489.666892485699	559.189146147924
1038_s_at	588.80298080851	518.986149735824	596.700326352362	641.897048780624	489.224550558971	591.906675603608	396.236130218548	383.211696466478
1039_s_at	516.519303811477	461.217052368649	597.926211511629	671.285788977627	438.98854990053	442.173462245608	393.654655133505	390.947784262894
104_at	687.286582345174	646.815285105205	714.839199436876	684.863655188463	674.197779314042	626.698193204718	692.854759225241	750.144205633606
1040_s_at	690.321883803889	768.580449946531	894.486936927439	986.974368063895	639.548182606436	662.189626054423	739.557403674331	686.553124374217
1041_at	622.752128682118	709.307611537157	948.814603767958	913.068006355163	1007.08045619506	993.171339787443	850.321690185822	963.649785261424
1042_at	423.153778286353	426.976596043143	407.977451496637	389.399098001107	451.656501530255	453.009307420267	487.564154363213	499.00774282978
1043_s_at	346.104678315094	390.213987482931	377.844715241859	384.29224262719	379.618756065906	386.920875343698	392.33364046841	378.750021213057
1044_s_at	469.858127949154	471.635156022498	643.608400656027	646.157411689584	436.852661921297	448.385274485676	403.727441563652	429.960875518984
1045_s_at	452.266120835592	414.216802583045	427.391572784066	417.468600624099	475.889729076078	462.970440241555	476.931968375788	473.987069018152
1046_at	694.099699682598	581.755962041951	980.03052342134	1011.54621388076	805.751278843213	874.484938539002	856.423068096285	954.423608033363
1047_s_at	735.777632372938	594.515140729217	756.922137982781	742.935548582382	2179.54379032354	2222.87639465245	2212.49807560275	1955.01732031526
1048_at	451.136056438347	441.313552571934	427.585433533741	419.199909987058	469.493793559154	408.276637900295	443.210477688706	428.503777885056
