	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1047_s_at	318.31	A	0.2	154.85	A	0.4	257.32	A	0.25	380.28	A	0.15	3098.58	P	0	3185.21	P	0	2672.73	P	0	3295.51	P	0
1048_at	284.11	P	0	157.48	P	0	232.64	P	0.03	163.22	P	0	198.75	P	0.03	130.52	P	0.04	218.59	P	0.01	177.51	A	0.07
1049_g_at	187.89	A	0.68	303.03	A	0.52	187.72	A	0.68	90.37	A	0.78	108.86	A	0.8	100.49	A	0.62	133.9	A	0.73	196.27	A	0.64
105_at	149.14	A	0.12	84.63	A	0.2	200.92	A	0.14	134.13	A	0.14	756.51	P	0.01	886.26	P	0.01	1475.91	P	0	1490.07	P	0
1050_at	19.63	A	0.85	3.77	A	0.9	2.26	A	0.99	2.13	A	1	5.57	A	0.99	3.01	A	0.96	4.38	A	0.98	27.72	A	0.73
1051_g_at	40.87	A	0.7	40.11	A	0.48	48.26	A	0.66	27.09	A	0.7	42.68	A	0.75	85.49	A	0.5	118.12	A	0.48	123.74	A	0.42
1052_s_at	992.92	P	0	994.86	P	0	576.74	P	0	647.4	P	0	10261.62	P	0	10048.4	P	0	2056.73	P	0	2181.18	P	0
1053_at	242.05	P	0.02	257.18	P	0.03	319.92	A	0.07	289.87	A	0.16	297.26	A	0.2	497.65	P	0.01	291.69	A	0.06	269.56	A	0.18
1054_at	67.05	A	0.18	62.04	M	0.04	109.65	P	0.02	109.85	P	0.01	99.48	A	0.25	168.92	P	0.01	112.75	A	0.13	44.87	A	0.32
1055_g_at	187.94	A	0.15	101.33	P	0.03	287.75	A	0.08	386.13	P	0.04	235.71	A	0.11	381.28	M	0.05	280.16	A	0.25	183.28	A	0.46
1056_s_at	122.84	A	0.4	79.72	A	0.23	103.95	A	0.28	169.56	P	0.04	152.13	A	0.22	202.44	A	0.06	238.43	A	0.07	240.29	A	0.14
1057_at	436.01	A	0.07	288.62	A	0.14	363.7	A	0.1	314.91	A	0.11	456.16	A	0.06	393.62	A	0.14	550.43	A	0.16	451.75	A	0.22
