	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
36809_at	53.46	A	0.4	19.76	A	0.62	31.24	A	0.7	13.9	A	0.64	772.17	P	0	632.48	P	0	31.38	A	0.34	51.28	A	0.48
36810_at	62.42	A	0.23	98.55	P	0.03	290.63	P	0	455.81	P	0.01	97.02	A	0.14	187.07	P	0.02	91.02	A	0.2	120.94	P	0.01
36811_at	15.99	A	0.97	22.07	A	0.72	14.41	A	0.94	82.03	A	0.48	13.83	A	0.96	10.61	A	0.96	23.48	A	0.9	46.52	A	0.85
36812_at	166.78	A	0.3	215.75	M	0.05	147.38	A	0.36	195.99	A	0.25	122.65	A	0.48	144.11	A	0.36	66.23	A	0.66	63.87	A	0.66
36813_at	229.19	A	0.07	209.77	P	0	326.41	P	0.01	231.89	P	0	386.36	P	0	323.13	P	0	171.23	P	0.03	250.06	P	0.04
36814_at	642.1	P	0	443.78	P	0	1775.02	P	0	2114.36	P	0	127.12	P	0.01	107.95	P	0.01	88.23	A	0.13	42.89	A	0.48
36815_at	4439.9	P	0	5157.02	P	0	5823.41	P	0	5182.03	P	0	802.01	P	0.01	783.24	P	0.01	785.46	P	0.04	822.62	A	0.11
36816_s_at	28.29	A	0.72	24.69	A	0.7	98.61	A	0.52	13.64	A	0.75	118.93	A	0.48	86.65	A	0.52	32.19	A	0.72	170.37	A	0.52
36817_at	22.18	A	0.54	3.44	A	0.6	42.59	A	0.36	49.16	A	0.16	31.43	A	0.72	4.83	A	0.86	9.94	A	0.87	6	A	0.94
36818_at	375.79	M	0.05	214.37	P	0	426.35	P	0.01	572.39	P	0	79.35	A	0.16	85.65	P	0.04	115.42	A	0.38	13.56	A	0.77
36819_at	72.01	A	0.28	11.02	A	0.32	128.73	P	0.01	85.28	P	0.01	83.09	A	0.1	79	P	0.01	71.23	A	0.23	62.93	A	0.19
36820_r_at	15.32	A	0.42	7.79	A	0.42	31.05	M	0.05	29.84	A	0.09	23.15	A	0.58	28.23	A	0.18	26.87	A	0.28	8.07	A	0.42
36821_at	2249.49	P	0	2759.4	P	0	1671.14	P	0	1859.81	P	0	313.49	P	0.01	363.19	P	0	329.06	P	0	434.05	P	0.01
36822_at	446.37	P	0	424.32	P	0	1067.89	P	0	1108.36	P	0	445.07	P	0	513.53	P	0	335.18	A	0.07	548.68	P	0.04
36823_at	3421.48	P	0	3751.67	P	0	1567.49	P	0	1575.27	P	0	782.23	P	0	677.41	P	0	176.77	A	0.44	614.71	A	0.15
36824_at	527.36	P	0	548.89	P	0	699.12	P	0	726.04	P	0	6.57	A	0.97	4	A	0.96	9.79	A	0.84	3.52	A	1
36825_at	93.67	A	0.28	73.2	A	0.58	33.42	A	0.81	48.38	A	0.75	36.73	A	0.98	31.85	A	0.73	52.93	A	0.86	14.27	A	0.99
36826_at	972.16	P	0	905.12	P	0	1085.7	P	0.01	886.96	P	0	733.93	P	0.02	639.73	P	0.01	725.34	P	0.01	970.54	P	0.01
36827_at	473.97	P	0	270.99	P	0	504.34	P	0	685.14	P	0	287.15	P	0	311.29	P	0	118.92	A	0.25	116.54	P	0.04
36828_at	344.33	A	0.16	340.68	A	0.08	479.47	A	0.07	420.36	M	0.05	75.88	A	0.66	213.2	A	0.44	175.76	A	0.46	360.92	A	0.23
36829_at	1894.82	P	0.02	2201.63	P	0	1339.16	P	0.01	1590.92	P	0.04	2320.68	P	0.01	1797.82	P	0.01	2270.88	A	0.07	2455.6	M	0.05
36830_at	122.37	A	0.38	116.17	A	0.28	109.76	A	0.48	104.57	A	0.38	33.98	A	0.87	157.62	A	0.5	166.9	A	0.5	167.88	A	0.64
36831_at	129.65	M	0.05	168.07	P	0	235.24	P	0.03	157.92	P	0.01	35.13	A	0.77	14.62	A	0.73	53.49	A	0.32	17.31	A	0.64
36832_at	159.99	A	0.3	46.81	A	0.88	83.13	A	0.48	173.47	A	0.44	155.92	A	0.58	54.01	A	0.73	219.51	A	0.44	68.96	A	0.81
36833_at	653.02	A	0.06	425.04	A	0.07	512.66	A	0.13	515.46	A	0.08	875.4	M	0.05	794.38	A	0.07	760.54	A	0.12	780.58	A	0.13
36834_at	652.11	P	0.02	623.01	P	0.04	539.87	M	0.05	385.35	M	0.04	62.01	A	0.77	25.54	A	0.86	34.24	A	0.87	43.79	A	0.96
36835_at	123.65	A	0.13	74.34	A	0.07	168.98	P	0.02	316.65	P	0.01	118.94	A	0.23	120.06	M	0.05	141.14	A	0.08	91	A	0.38
36836_at	46.61	A	0.89	84.72	A	0.5	275.97	A	0.25	213.01	A	0.32	68.57	A	0.75	278.14	A	0.3	342.31	A	0.5	458.67	A	0.36
36837_at	28.29	A	0.81	33.62	A	0.68	72.35	A	0.58	52.12	A	0.72	317.12	A	0.18	607.22	P	0.01	71.89	A	0.75	75.35	A	0.77
36838_at	44.51	A	0.6	21.8	A	0.58	75.64	A	0.38	28.51	A	0.48	149.38	A	0.3	190.77	A	0.28	130.36	A	0.32	121.17	A	0.56
36839_at	44.95	A	0.5	33.08	A	0.3	135.6	P	0.04	36.36	A	0.34	214.06	M	0.05	193.53	P	0.02	49.88	A	0.56	77.47	A	0.19
36840_at	1754.13	P	0	2170.56	P	0	1100.69	P	0.02	1274.11	P	0.01	850.95	P	0.02	994.83	P	0.01	1242.54	P	0.02	1231.43	M	0.04
36841_at	731.98	P	0.02	871.99	P	0	214.86	A	0.42	171.35	A	0.22	172.96	A	0.4	187.62	A	0.23	454.95	A	0.09	132.69	A	0.58
36842_at	360.54	P	0	272.22	P	0	608.45	P	0	618.19	P	0	91.57	A	0.36	64.81	A	0.32	81.56	A	0.5	41.82	A	0.64
36843_at	306.81	A	0.32	300.92	A	0.25	326.08	A	0.48	290.97	A	0.46	707.79	A	0.2	606.46	A	0.27	822	A	0.28	643.97	A	0.38
36844_at	1051.44	P	0	1177.66	P	0	1646.57	P	0	1745.79	P	0	87.63	A	0.28	86.75	A	0.2	19.68	A	0.73	62.24	A	0.34
36845_at	890.83	P	0	437.02	P	0	1778.4	P	0	1901.48	P	0	707.31	P	0	736.28	P	0	180.76	P	0.01	188.13	P	0
36846_s_at	1555.33	P	0	1358.91	P	0	1231.47	P	0	1623.33	P	0	963	P	0.01	1032.15	P	0	820.15	P	0.01	760.26	P	0.04
36847_r_at	192.39	A	0.36	554.23	A	0.07	569.36	A	0.07	775.47	P	0.02	211.79	A	0.5	300.82	A	0.34	129.61	A	0.58	171.95	A	0.5
36848_r_at	119.74	A	0.81	100.48	A	0.7	105.39	A	0.75	89.74	A	0.58	120.7	A	0.8	149.71	A	0.56	117.89	A	0.78	125.53	A	0.75
36849_at	47.21	A	0.46	44.5	A	0.23	51.23	A	0.42	90.58	A	0.12	96.97	A	0.28	82.19	A	0.2	74.86	A	0.23	102.01	A	0.15
36850_at	40.77	A	0.72	34.59	A	0.54	156.62	A	0.11	106.12	A	0.14	89.45	A	0.5	32.94	A	0.48	81.76	A	0.32	182.72	A	0.27
36851_g_at	326.72	P	0.01	244.24	P	0	1325.69	P	0	1814.49	P	0	134.03	A	0.23	155.81	A	0.06	8.39	A	0.96	10.7	A	0.88
36852_at	461.18	P	0	262.47	P	0	618.8	P	0	703.17	P	0	92.8	A	0.38	98.49	A	0.06	6.39	A	0.95	11.93	A	0.86
36853_at	109.07	A	0.52	138.68	A	0.19	980.55	P	0	911.98	P	0	76.81	A	0.7	15.34	A	0.95	19.81	A	0.98	20.63	A	0.99
36854_s_at	124.15	A	0.25	190.82	P	0	854.28	P	0	827.48	P	0	119.11	A	0.27	116.54	A	0.25	162.38	A	0.18	226.38	A	0.13
36855_r_at	319.54	A	0.3	530.51	A	0.23	1078.9	P	0.01	971.73	P	0.01	518.51	A	0.27	434.94	A	0.22	938.39	A	0.14	830.91	A	0.13
36856_at	456.29	A	0.22	288.85	A	0.18	73.27	A	0.81	33.67	A	0.72	423.62	A	0.42	96.67	A	0.6	418.91	A	0.38	131.85	A	0.52
36857_at	170.61	P	0.01	180.02	P	0	335.13	P	0	422.78	P	0	156.75	A	0.06	199.94	P	0	54.91	A	0.44	101.05	A	0.16
36858_at	265.85	P	0.02	287.16	P	0	157.22	P	0.04	144.61	M	0.05	386.37	P	0.03	259.72	P	0.01	119.2	A	0.36	64.35	A	0.36
36859_at	446.36	P	0	288.7	P	0.01	429.66	P	0.02	432.56	P	0	75.58	A	0.38	80.55	A	0.27	155.02	A	0.25	364.41	A	0.2
36860_at	308.15	P	0	427.74	P	0	498.62	P	0	459.15	P	0	162.29	M	0.05	237.56	P	0	350.28	P	0.02	164.91	A	0.07
36861_at	114.78	A	0.46	134.3	A	0.36	213.35	A	0.14	151.32	M	0.05	40.48	A	0.66	121.52	A	0.32	208.94	A	0.25	251.1	A	0.25
36862_at	1244.1	P	0.01	1965.5	P	0	940.35	A	0.07	728.71	A	0.08	1572.98	P	0.03	1751.06	P	0.02	966.59	A	0.15	1381.39	A	0.1
36863_at	22.33	A	0.7	88.21	A	0.28	88.95	A	0.27	88.32	A	0.32	147.17	A	0.36	112.66	M	0.04	153.14	A	0.44	120.52	A	0.34
36864_at	107.39	M	0.05	106.12	P	0	301.26	P	0	382.47	P	0	95.64	A	0.14	164.73	P	0.01	148.5	M	0.05	214.65	P	0.02
36865_at	472.33	A	0.1	519.08	P	0.01	477.78	A	0.1	489.04	P	0.02	647.18	A	0.07	712.66	P	0.04	541.89	A	0.08	799.57	A	0.1
36866_at	27.3	A	0.64	24.4	A	0.7	67.66	A	0.3	68.01	A	0.18	43.46	A	0.68	46.1	A	0.46	15.76	A	0.81	67.9	A	0.42
36867_at	996.53	P	0	865.11	P	0	601.93	P	0.01	572.78	P	0.01	236.41	A	0.54	37.37	A	0.78	169.79	A	0.6	43.37	A	0.78
36868_at	180.34	M	0.05	249.09	P	0	345.59	P	0.01	236.1	P	0.04	178.09	A	0.22	125.85	A	0.27	63.63	A	0.48	77.55	A	0.48
36869_at	51.86	A	0.87	31.96	A	0.73	160.66	A	0.4	28.29	A	0.73	78.69	A	0.81	172.17	A	0.56	41.89	A	0.95	103.9	A	0.75
36870_at	427.79	P	0.04	299.02	A	0.07	651.32	P	0.03	744.24	P	0.01	417.17	A	0.18	452.1	A	0.06	207.72	A	0.22	564.84	A	0.11
36871_at	40.65	A	0.92	12.67	A	0.99	39.38	A	0.92	21.2	A	0.96	2060.82	P	0	2329.35	P	0	25.38	A	0.98	27.59	A	0.96
36872_at	1635.11	P	0	1273.56	P	0	794.22	P	0	860.29	P	0	315.35	P	0	290.8	P	0	126.47	A	0.16	107.02	A	0.07
36873_at	125.11	P	0	111.69	P	0	285.87	P	0	427.98	P	0	18.58	A	0.81	11.43	A	0.92	9.01	A	0.99	7.28	A	0.96
36874_at	31.75	A	0.86	18.61	A	0.6	76.42	A	0.58	30.04	A	0.66	91.41	A	0.38	26.51	A	0.58	57.27	A	0.6	35.88	A	0.56
36875_at	152.34	M	0.05	34.14	A	0.28	208.44	P	0.03	122.65	P	0.01	168.3	A	0.09	109.59	P	0.02	16.56	A	0.72	38.46	A	0.4
36876_at	107.72	A	0.64	114.52	A	0.52	112	A	0.58	31.04	A	0.86	995.18	A	0.2	1297.78	M	0.05	2306.21	P	0	2494.78	P	0
36877_at	23.16	A	0.96	7.97	A	0.86	19.9	A	0.8	12.8	A	0.93	23.95	A	0.97	15.32	A	0.95	14.81	A	0.94	20.04	A	0.78
36878_f_at	45.62	A	0.7	93.28	A	0.46	42.07	A	0.7	24.96	A	0.78	400.04	A	0.16	313.13	A	0.15	963.23	A	0.11	885.46	A	0.15
36879_at	34.19	A	1	23.12	A	0.99	22.53	A	1	12.59	A	0.99	393.22	A	0.5	305.2	A	0.32	757.06	A	0.12	316.67	A	0.38
36880_at	781.71	A	0.08	592.23	P	0.01	421.63	A	0.1	358.53	A	0.09	846.26	A	0.15	653.51	A	0.06	1409.96	P	0.01	1296.61	P	0.02
36881_at	637.5	M	0.05	933.51	P	0.02	52.98	A	0.95	80.25	A	0.85	2102.03	P	0.01	2251.21	P	0.02	4098.75	P	0	3480.75	P	0.04
36882_at	34.58	A	0.97	33.42	A	0.88	31.23	A	0.98	17.38	A	0.99	37.21	A	0.99	31.4	A	0.96	45.17	A	0.93	43.8	A	0.97
36883_at	613.43	A	0.16	597.96	A	0.1	851.56	A	0.09	684.09	A	0.1	1225.11	P	0.02	1063.63	P	0.01	661.55	A	0.1	1222.63	M	0.05
36884_at	13.45	A	0.9	15.01	A	0.68	16.8	A	0.84	7.79	A	0.95	83.74	A	0.44	21.33	A	0.56	15.29	A	0.96	26.55	A	0.77
36885_at	63.56	A	0.95	39.96	A	0.75	38.39	A	0.93	24.09	A	0.97	66.37	A	0.5	75.02	A	0.48	71.09	A	0.95	77.21	A	0.72
36886_f_at	77.98	A	0.73	66.09	A	0.77	114.75	A	0.48	134.36	A	0.52	218.22	A	0.44	264.94	A	0.36	115.19	A	0.58	149.77	A	0.56
36887_f_at	37.57	A	0.88	15.93	A	0.92	25.87	A	0.88	31.81	A	0.84	77.19	A	0.72	36.71	A	0.88	67.87	A	0.84	42.45	A	0.82
36888_at	561.58	P	0.01	419.23	P	0	1201	P	0	607.73	P	0.01	739.78	P	0.01	563.58	P	0.01	600.07	P	0	843.56	P	0
36889_at	160.94	A	0.32	125.18	A	0.07	145.78	A	0.3	105.12	A	0.3	536.59	P	0.02	573.11	P	0.02	514.43	P	0.03	372.13	A	0.09
36890_at	520.33	M	0.04	669.57	P	0	233.56	A	0.4	144.75	A	0.46	287.43	A	0.32	288.12	A	0.22	855.72	P	0.04	664.53	A	0.13
36891_at	539.96	A	0.23	783.83	P	0.04	437.58	A	0.08	337.54	A	0.19	431.57	A	0.25	496.61	A	0.09	803.44	A	0.11	795.82	A	0.12
36892_at	1302.2	P	0	1426.25	P	0	733.25	M	0.05	646.96	P	0.02	32.89	A	0.75	151.38	A	0.48	31.65	A	0.87	49.62	A	0.9
36893_at	76.59	A	0.52	48.2	A	0.32	6.82	A	0.84	62.64	A	0.46	12.78	A	0.89	28.84	A	0.64	19.64	A	0.9	23.28	A	0.78
36894_at	4327.64	P	0	4746.94	P	0	549.07	P	0	468.28	P	0	751.97	P	0	767.18	P	0	790.76	P	0	656.22	P	0.01
36895_at	66.28	A	0.1	73.33	A	0.18	153	A	0.07	149.23	P	0.03	15.94	A	0.95	45	A	0.58	9.91	A	0.84	20.69	A	0.81
36896_s_at	42.13	A	0.34	174.58	P	0.01	240.51	A	0.15	192.9	M	0.05	207.28	A	0.25	162	A	0.25	28.79	A	0.85	22.1	A	0.9
36897_at	830.74	P	0.02	1081.34	P	0	509.72	P	0.04	610.05	P	0.04	216.58	A	0.23	204.28	A	0.28	38.44	A	0.84	52.57	A	0.78
36898_r_at	110.24	A	0.12	40.45	A	0.23	228.84	P	0.01	203.79	P	0	115.46	M	0.05	203.94	P	0	134.38	A	0.22	103.42	A	0.06
36899_at	2223.16	P	0	2514.12	P	0	3608.97	P	0	4164.99	P	0	350.46	P	0.01	354.68	P	0	143.83	A	0.13	293.44	P	0.03
369_s_at	74.86	A	0.87	172.28	A	0.5	505.96	A	0.22	449.6	A	0.22	905.64	A	0.09	1035.4	P	0.04	124	A	0.75	75.73	A	0.73
36900_at	1180.23	P	0	1181.37	P	0	542	P	0.01	520.23	P	0	1105.9	P	0.01	948.65	P	0	1330.93	P	0	1509.19	P	0
36901_at	67.42	A	0.36	48.51	A	0.18	131.87	A	0.14	164.22	A	0.08	63.5	A	0.54	18.53	A	0.62	13.09	A	0.84	12.93	A	0.9
36902_at	931.11	A	0.07	1275.76	P	0.01	353.89	A	0.32	278.62	A	0.38	1559.38	P	0.02	1523.26	P	0.01	1248.43	A	0.09	1016.52	A	0.09
36903_at	221.77	P	0.01	140.75	P	0	311.32	P	0	383.27	P	0	11.62	A	0.99	6.53	A	0.98	5.86	A	1	7.32	A	1
36904_at	60.93	A	0.9	41.84	A	0.8	64.61	A	0.58	44.78	A	0.82	45.73	A	0.96	44.35	A	0.89	46.84	A	0.95	56.02	A	0.9
36905_at	294	A	0.07	243.52	A	0.07	534.84	P	0	723.53	P	0	194.7	A	0.46	194.46	A	0.19	39.76	A	0.66	95.41	A	0.56
36906_at	848.43	P	0	551.05	P	0	3658.07	P	0	4193.74	P	0	24.64	A	0.8	52.57	A	0.14	31.39	A	0.58	78.86	A	0.34
36907_at	1205.54	P	0.04	985.12	P	0.01	1223.76	P	0.01	917.27	P	0.04	1414.33	P	0.02	737.53	P	0.01	1991.93	P	0.03	1668.51	P	0.03
36908_at	127.87	P	0.03	69.58	P	0.02	132.13	P	0	126.42	P	0	293.92	P	0	284.48	P	0	146.35	P	0.02	115.54	A	0.07
36909_at	66.77	A	0.22	1.92	A	0.72	191.03	P	0	227.4	P	0	416.14	P	0	902.52	P	0	177.24	P	0	144.17	P	0.02
36910_at	724.24	P	0	392.38	P	0	518.31	P	0.01	572.73	P	0.01	117.23	A	0.42	178.24	A	0.27	16.06	A	0.91	17.57	A	0.9
36911_at	46.34	A	0.62	24.25	A	0.72	17.5	A	0.84	24.79	A	0.72	34.23	A	0.7	65.04	A	0.3	53.96	A	0.62	26.33	A	0.72
36912_at	160.6	A	0.36	180.33	A	0.34	56.77	A	0.62	57.51	A	0.54	153.04	A	0.48	112.4	A	0.5	122.32	A	0.64	111.15	A	0.72
36913_at	147.4	P	0	172.62	P	0	297.53	P	0	328.69	P	0	275.2	P	0	416.99	P	0	77.8	A	0.15	104.75	P	0.02
36914_at	59.08	A	0.52	23.37	A	0.66	68.91	A	0.62	20.85	A	0.92	37.09	A	0.73	97.61	A	0.42	168.02	A	0.32	57.44	A	0.48
36915_at	328.29	A	0.3	156.69	A	0.6	375.57	A	0.28	323.27	A	0.2	628.15	A	0.07	529.25	M	0.05	747.96	A	0.16	779.46	A	0.15
36916_at	702.18	A	0.07	643.65	P	0.03	612.21	A	0.09	451.75	A	0.13	707.06	A	0.07	581.59	M	0.04	1011.38	A	0.08	881.54	A	0.11
36917_at	178.93	A	0.36	96.2	A	0.54	191.81	A	0.22	177.2	A	0.23	107.67	A	0.7	129.3	A	0.52	142.91	A	0.62	161.28	A	0.54
36918_at	357.72	P	0	204.95	P	0	478.49	P	0	559.86	P	0	225.11	A	0.1	101.39	A	0.12	109.96	A	0.46	128.97	A	0.27
36919_r_at	15.5	A	0.81	71.61	A	0.44	90.26	A	0.42	73.66	A	0.46	131.7	A	0.44	125.34	A	0.25	227.89	A	0.19	175.65	A	0.32
36920_at	90.83	A	0.15	49.96	A	0.3	20.37	A	0.75	65.51	A	0.25	40.71	A	0.75	7.89	A	0.89	18.22	A	0.75	24.81	A	0.8
36921_at	824.41	P	0	550.54	P	0	713.55	P	0	825.56	P	0	180.27	A	0.16	88.81	A	0.07	28.56	A	0.75	71.96	A	0.58
36922_at	95.91	A	0.23	55.55	A	0.36	114.39	A	0.36	77.65	A	0.42	297.39	M	0.05	352.3	P	0.01	45.01	A	0.42	204.98	A	0.46
36923_at	56.72	A	0.93	51.18	A	0.84	76.37	A	0.85	59.29	A	0.86	149.53	A	0.7	213.69	A	0.56	87.72	A	0.73	117.86	A	0.62
36924_r_at	930.43	P	0	660.47	P	0	1384.89	P	0	1445.07	P	0	21.45	A	0.66	11.38	A	0.56	11.35	A	0.73	35.8	A	0.56
36925_at	3464.19	P	0	3714.85	P	0	280.8	P	0	239.51	P	0	342.14	P	0.01	256.76	P	0	186.67	A	0.11	129.36	A	0.32
36926_at	592.53	P	0	465.02	P	0	1269.46	P	0	1415.43	P	0	433.11	P	0	425.27	P	0	28.2	A	0.7	11.54	A	0.85
36927_at	54.66	A	0.54	106.71	M	0.05	199.38	A	0.07	129.99	M	0.04	60.17	A	0.52	21.05	A	0.48	49.05	A	0.4	26.24	A	0.64
36928_at	1735.65	P	0	835.38	P	0	2576.55	P	0	2604.41	P	0	780.89	P	0	793.42	P	0	611.63	P	0.04	407.35	A	0.12
36929_at	255.14	A	0.5	242.56	A	0.06	265.29	A	0.32	189.66	A	0.22	344.8	A	0.42	248.28	A	0.3	276.04	A	0.34	274.61	A	0.32
36930_at	279.9	A	0.13	160.5	P	0.02	225.2	P	0.01	274.73	P	0.01	171.42	A	0.22	132.57	A	0.13	243.26	A	0.16	293.39	A	0.2
36931_at	1637.99	P	0	1925.72	P	0	596.48	A	0.07	566.84	P	0.04	1770.21	P	0	1777.03	P	0	1670.62	P	0.01	2012.83	P	0.01
36932_at	357.5	A	0.09	232.63	P	0.02	314.56	A	0.15	285.89	A	0.16	292.6	A	0.32	302.24	A	0.06	202.88	A	0.28	59.39	A	0.46
36933_at	2238.32	P	0	2065.81	P	0	1716.07	P	0	1821.47	P	0	3402.54	P	0	4008.92	P	0	882.07	P	0.01	720.41	P	0.01
36934_at	187.56	A	0.27	189.44	A	0.08	262.48	P	0.04	262.45	M	0.05	237.2	A	0.08	337.13	P	0.03	163.23	A	0.32	203.6	A	0.2
36935_at	960.74	P	0	570.3	P	0	984.07	P	0	1110.85	P	0	158.56	A	0.06	274.14	P	0.04	77.44	A	0.28	176.83	A	0.25
36936_at	651.35	P	0.03	561.97	P	0.01	659.87	P	0.01	661.86	P	0.01	1448.96	P	0	1289.05	P	0	1060.99	P	0.03	1284.71	P	0.01
36937_s_at	156.2	A	0.6	170.85	A	0.25	242.23	A	0.18	141.11	A	0.54	1794.37	P	0	1469.03	P	0	1432.93	P	0	1703.81	P	0
36938_at	1974.9	P	0	1714.8	P	0	3393.9	P	0	4274.29	P	0	2613.78	P	0	2954.47	P	0	1314.58	P	0	1237.85	P	0
36939_at	5167.26	P	0	3456.51	P	0	9561.44	P	0	10618.07	P	0	163.69	P	0.03	160.47	P	0	90.17	A	0.13	53.43	A	0.27
36940_at	969.3	P	0	1447.3	P	0	795.53	P	0	625.54	P	0	500.32	P	0.01	438.91	P	0	747.76	P	0	762.53	P	0.02
36941_at	7359.66	P	0	6824.86	P	0	12979.46	P	0	12854.86	P	0	301.76	A	0.07	369.74	P	0.01	23.85	A	0.92	33.52	A	0.9
36942_at	1044.26	P	0	1254.19	P	0	1030.06	P	0	1589.94	P	0	1375.77	P	0	1489.31	P	0	663.23	P	0.01	550.74	P	0.01
36943_r_at	144.7	P	0.02	115.67	P	0.01	413.39	P	0	377.99	P	0	155.96	A	0.1	172.45	P	0.01	88.36	A	0.14	257.65	M	0.04
36944_f_at	160	A	0.13	108.68	M	0.05	260.37	P	0.04	269.48	P	0.01	101.62	A	0.32	127.73	A	0.1	76.51	A	0.38	75.47	A	0.42
36945_at	1477.75	P	0	1450.2	P	0	1187.47	P	0	1241.88	P	0	1960.08	P	0	1974.03	P	0	3284.21	P	0	2596.31	P	0
36946_at	632.19	P	0	602.11	P	0	1624.15	P	0	1899.21	P	0	349.35	P	0	485.41	P	0	96.26	A	0.06	92.54	P	0.04
36947_s_at	28.2	A	0.86	61.55	A	0.52	53.61	A	0.66	19.26	A	0.88	58.23	A	0.75	21.2	A	0.95	41.76	A	0.86	60.92	A	0.77
36948_at	1124.64	P	0	760.8	P	0	1204.47	P	0	1956.39	P	0	315.63	P	0.01	312.24	P	0.01	230.05	P	0.02	211.51	A	0.1
36949_at	2438.92	P	0	2989.78	P	0	1455.81	P	0	1565.08	P	0	967.73	P	0.01	860.25	P	0.02	983.37	M	0.04	821.93	A	0.18
36950_at	1231.04	P	0	1299.73	P	0	854.76	P	0	1414.27	P	0	3279.56	P	0	3619.94	P	0	3841.52	P	0	3250.19	P	0
36951_at	851.01	P	0.02	973.5	P	0.02	489.33	A	0.09	510.6	A	0.07	927.59	A	0.08	921.54	P	0.03	1592.22	P	0.04	1725.41	P	0.04
36952_at	918.06	P	0.03	879.95	P	0.01	957.3	P	0.02	881.83	P	0.01	2883.45	P	0	2876.59	P	0	1717.97	P	0.02	1363.92	P	0.02
36953_at	464.23	P	0.02	382.09	P	0.01	661.78	P	0	707.86	P	0	441.6	P	0.03	504.04	P	0	379.25	M	0.05	265.55	A	0.3
36954_at	646.53	P	0.03	798.15	P	0.01	699.2	A	0.08	597.17	A	0.07	326.57	A	0.23	336.21	A	0.3	362.26	A	0.28	293.88	A	0.48
36955_at	471.26	A	0.07	768.1	A	0.06	535.73	A	0.06	574.24	M	0.04	1540.27	A	0.07	1504.47	P	0.04	1887.07	P	0.03	1551.61	P	0.03
36956_at	480.69	P	0	504.3	P	0	492.32	P	0.01	537.83	P	0.01	237.85	P	0.02	405.87	P	0.01	782.44	P	0	459.13	P	0.01
36957_at	619.73	P	0	462.24	P	0	1015.87	P	0	975.54	P	0	567.99	P	0	484.65	P	0	360.7	P	0	310.63	P	0.02
36958_at	951.99	A	0.16	1052.74	P	0.03	1491.91	P	0.01	1085.49	P	0.02	1397.44	P	0.02	1660.93	P	0.01	759.05	A	0.23	986.98	A	0.18
36959_at	595.45	P	0.02	800.66	P	0.01	508	P	0.02	689.94	P	0.01	1234.98	P	0.01	1120.21	P	0.01	1890.53	P	0.02	1745.67	P	0.01
36960_at	615.72	P	0.01	786.08	P	0	409.76	P	0	499.11	P	0	1007.89	P	0	1391.97	P	0	753.11	P	0	589.09	P	0.01
36961_at	400.86	P	0	255.55	P	0	381.44	P	0.01	424.31	P	0	303.78	A	0.06	446.67	P	0.01	58.45	A	0.5	353.78	A	0.11
36962_at	1329.03	P	0	1615.56	P	0	1339.77	P	0	1397.52	P	0	1461.98	P	0	1842.66	P	0	985.11	P	0	953.1	P	0
36963_at	2134.88	P	0	1706.49	P	0	2609.28	P	0	2705.89	P	0	3801.73	P	0	4034.33	P	0	3565.43	P	0.01	2353.61	P	0.02
36964_at	291.9	A	0.18	388.92	P	0.02	439.01	A	0.06	356.49	M	0.05	225.3	A	0.7	307.18	A	0.32	109.96	A	0.58	348.2	A	0.5
36965_at	1656.41	P	0	1140.09	P	0	3398.32	P	0	3970.34	P	0	91.65	A	0.07	124.18	P	0.01	5.61	A	0.72	99.52	A	0.32
36966_at	24.75	A	0.73	42.79	A	0.28	64.19	A	0.23	69.71	A	0.3	16.61	A	0.88	31.72	A	0.46	76.49	A	0.48	12.96	A	0.86
36967_g_at	36.58	A	0.64	28.67	A	0.2	257.76	A	0.06	222.05	M	0.04	129.6	A	0.38	12.58	A	0.73	22.38	A	0.84	30.55	A	0.8
36968_s_at	161.19	A	0.2	98.55	A	0.12	433.18	P	0.01	500.06	P	0.01	220.6	P	0.02	240.44	P	0.01	106.42	A	0.48	161.28	A	0.12
36969_at	106.46	A	0.46	143.41	A	0.38	97.83	A	0.48	232.89	A	0.42	452.54	A	0.27	135.06	A	0.4	118.01	A	0.52	215.01	A	0.48
36970_at	318.25	P	0.01	414.91	P	0	815.95	P	0	849.43	P	0	539.98	P	0.01	635.56	P	0	370.64	P	0.04	451.17	P	0.01
36971_at	547.34	P	0	545.18	P	0	961.99	P	0	1047.7	P	0	524.93	P	0	423.12	P	0	331.85	P	0.01	347.52	A	0.1
36972_at	3048.63	P	0	2531.02	P	0	2380.37	P	0	2672.7	P	0	6258.26	P	0	6323.52	P	0	4028.97	P	0	3551.08	P	0
36973_at	1425.2	P	0.01	2577.44	P	0	1516.44	P	0	1438.18	P	0	1049.52	A	0.16	1331.34	A	0.08	712.79	A	0.36	992.19	A	0.23
36974_at	147.16	P	0.02	153.16	P	0	177.32	P	0	190.56	P	0	256.23	P	0	264.79	P	0	223.12	P	0.01	242.45	P	0.01
36975_at	1978.57	P	0	1585.63	P	0	2362.34	P	0	2786.28	P	0	1140.46	P	0	1580.93	P	0	402.64	P	0	338.15	P	0
36976_at	202.31	P	0.01	153.09	P	0	893.84	P	0	883.61	P	0	10.21	A	0.97	60.91	A	0.09	4.75	A	0.99	3.08	A	1
